CO_CODE,ADM_CODE,ADM_NAME,MC_YEAR
4180,18,Xaysomboun,2012
4580,0,National level,2014
4580,1,Johor State Education Department,2014
4580,2,Kedah State Education Department,2014
4580,3,Kelantan State Education Department,2014
4580,4,Melaka State Education Department,2014
4580,5,Negeri Sembilan State Education Department,2014
4580,6,Pahang State Education Department,2014
4580,7,Perak State Education Department,2014
4580,8,Perlis State Education Department,2014
4580,9,Pulau Pinang State Education Department,2014
4580,10,Sabah State Education Department,2014
4580,11,Sarawak State Education Department,2014
4580,12,Selangor State Education Department,2014
4580,13,Terengganu State Education Department,2014
4580,14,WP Kuala Lumpur State Education Department,2014
4580,15,WP Labuan State Education Department,2014
4580,16,WP Putrajaya State Education Department,2014
5860,0,National level,2014
5860,1,Punjab,2014
5860,2,Balochistan,2014
5860,3,khyber pakhtunkhwa,2014
5860,4,Sindh,2014
5860,5,Islamabad Capital Territory (ICT),2014
5860,6,Gilgit-Baltistan,2014
5860,7,Federally Administered Tribal Areas (FATA),2014
5860,8,Azad Jammu and Kashmir (AJ&K),2014
4180,0,National level,2014
4180,1,Vientiane Capital,2014
4180,2,Phongsaly,2014
4180,3,Luangnamtha,2014
4180,4,Oudomxay,2014
4180,5,Bokeo,2014
4180,6,Luangprabang,2014
4180,7,Houaphan,2014
4180,8,Sayaboury,2014
4180,9,Xiengkhoang,2014
4180,10,Vientiane Province,2014
4180,11,Borikhamxay,2014
4180,12,Khammouan,2014
4180,13,Savannakhet,2014
4180,14,Saravan,2014
4180,15,Sekong,2014
4180,16,Champasak,2014
4180,17,Attapeu,2014
4180,18,Xaysomboun,2014
