EMC_ID,AC,LABEL_INT_EN,LABEL_INT_FR,LABEL_EXT_EN,LABEL_EXT_FR
900170,T.3.GPV.Read,"Education staff in ISCED 3, General&Pre-Voc, initial education, teaching reading",,,
900171,T.3.GPV.Pu.Perm,"Education staff in ISCED 3, General&Pre-Voc, Public, initial education, Permanent contract",,,
900172,T.3.GPV.Pu.Fix,"Education staff in ISCED 3, General&Pre-Voc, Public, initial education, non-Permanent contract",,,
900173,T.3.GPV.Pu.uk,"Education staff in ISCED 3, General&Pre-Voc, Public, initial education, unknown contract",,,
900174,T.3.GPV.Pr.Perm,"Education staff in ISCED 3, General&Pre-Voc, Private, initial education, Permanent contract",,,
900175,T.3.GPV.Pr.Fix,"Education staff in ISCED 3, General&Pre-Voc, Private, initial education, non-Permanent contract",,,
900176,T.3.GPV.Pr.uk,"Education staff in ISCED 3, General&Pre-Voc, Private, initial education, unknown contract",,,
900177,T.3.GPV.Pu.EA.2m,"Education staff in ISCED 2in ISCED 3, General&Pre-Voc, Public, initial education, Education attained ISCED 2 or less",,,
900178,T.3.GPV.Pu.EA.3,"Education staff in ISCED 3, General&Pre-Voc, Public, initial education, Education attained ISCED 3",,,
900179,T.3.GPV.Pu.EA.4,"Education staff in ISCED 3, General&Pre-Voc, Public, initial education, Education attained ISCED 4",,,
900180,T.3.GPV.Pu.EA.5,"Education staff in ISCED 3, General&Pre-Voc, Public, initial education, Education attained ISCED 5",,,
900181,T.3.GPV.Pu.EA.6,"Education staff in ISCED 3, General&Pre-Voc, Public, initial education, Education attained ISCED 6",,,
900182,T.3.GPV.Pu.EA.7,"Education staff in ISCED 3, General&Pre-Voc, Public, initial education, Education attained ISCED 7",,,
900183,T.3.GPV.Pu.EA.8,"Education staff in ISCED 3, General&Pre-Voc, Public, initial education, Education attained ISCED 8",,,
900184,T.3.GPV.Pu.EA.uk,"Education staff in ISCED 3, General&Pre-Voc, Public, initial education, Education attained not specified",,,
900185,T.3.GPV.Pr.EA.2m,"Education staff in ISCED 2in ISCED 3, General&Pre-Voc, Private, initial education, Education attained ISCED 2 or less",,,
900186,T.3.GPV.Pr.EA.3,"Education staff in ISCED 3, General&Pre-Voc, Private, initial education, Education attained ISCED 3",,,
900187,T.3.GPV.Pr.EA.4,"Education staff in ISCED 3, General&Pre-Voc, Private, initial education, Education attained ISCED 4",,,
900188,T.3.GPV.Pr.EA.5,"Education staff in ISCED 3, General&Pre-Voc, Private, initial education, Education attained ISCED 5",,,
900189,T.3.GPV.Pr.EA.6,"Education staff in ISCED 3, General&Pre-Voc, Private, initial education, Education attained ISCED 6",,,
900190,T.3.GPV.Pr.EA.7,"Education staff in ISCED 3, General&Pre-Voc, Private, initial education, Education attained ISCED 7",,,
900191,T.3.GPV.Pr.EA.8,"Education staff in ISCED 3, General&Pre-Voc, Private, initial education, Education attained ISCED 8",,,
900192,T.3.GPV.Pr.EA.uk,"Education staff in ISCED 3, General&Pre-Voc, Private, initial education, Education attained not specified",,,
900193,T.3.GPV.EA.2m,"Education staff in ISCED 2in ISCED 3, General&Pre-Voc, initial education, Education attained ISCED 2 or less",,,
900194,T.3.GPV.EA.3,"Education staff in ISCED 3, General&Pre-Voc, initial education, Education attained ISCED 3",,,
900195,T.3.GPV.EA.4,"Education staff in ISCED 3, General&Pre-Voc, initial education, Education attained ISCED 4",,,
900196,T.3.GPV.EA.5,"Education staff in ISCED 3, General&Pre-Voc, initial education, Education attained ISCED 5",,,
900197,T.3.GPV.EA.6,"Education staff in ISCED 3, General&Pre-Voc, initial education, Education attained ISCED 6",,,
900198,T.3.GPV.EA.7,"Education staff in ISCED 3, General&Pre-Voc, initial education, Education attained ISCED 7",,,
900199,T.3.GPV.EA.8,"Education staff in ISCED 3, General&Pre-Voc, initial education, Education attained ISCED 8",,,
900200,T.3.GPV.EA.uk,"Education staff in ISCED 3, General&Pre-Voc, initial education, Education attained not specified",,,
900201,NT.3.GPV.Pu,"Newly recruited teachers in ISCED 3, General&Pre-Voc, Public, initial education",,,
900202,NT.3.GPV.Pu.trained,"Newly recruited teachers in ISCED 3, General&Pre-Voc, Public, initial education, Trained teacher",,,
900203,T.3.GPV.Pu.Exp1t2,"Education staff in ISCED 3, General&Pre-Voc, Public, initial education, Teaching experience of 1 to 2 years",,,
900204,T.3.GPV.Pu.Exp3t5,"Education staff in ISCED 3, General&Pre-Voc, Public, initial education, Teaching experience of 3 to 5 years",,,
900205,T.3.GPV.Pu.Exp6t10,"Education staff in ISCED 3, General&Pre-Voc, Public, initial education, Teaching experience of 6 to 10 years",,,
