AC,LABEL_INT_EN
T.1.Pr.Ag20t29,"Education staff in ISCED 1, Private, initial education, Aged 20 to 29 years"
T.1.Pr.Ag30t39,"Education staff in ISCED 1, Private, initial education, Aged 30 to 39 years"
T.1.Pr.Ag40t49,"Education staff in ISCED 1, Private, initial education, Aged 40 to 49 years"
T.1.Pr.Ag50t59,"Education staff in ISCED 1, Private, initial education, Aged 50 to 59 years"
T.1.Pr.Ag60p,"Education staff in ISCED 1, Private, initial education, Aged 60 or more years"
T.1.Pr.Aguk,"Education staff in ISCED 1, Private, initial education, Age no specified"
T.1.Ag20m,"Education staff in ISCED 1, initial education, Aged less than 20 years"
T.1.Ag20t29,"Education staff in ISCED 1, initial education, Aged 20 to 29 years"
T.1.Ag30t39,"Education staff in ISCED 1, initial education, Aged 30 to 39 years"
T.1.Ag40t49,"Education staff in ISCED 1, initial education, Aged 40 to 49 years"
T.1.Ag50t59,"Education staff in ISCED 1, initial education, Aged 50 to 59 years"
T.1.Ag60p,"Education staff in ISCED 1, initial education, Aged 60 or more years"
T.1.Aguk,"Education staff in ISCED 1, initial education, Age no specified"
T.2.GPV.Pu.Math,"Education staff in ISCED 2, General&Pre-Voc, Public, initial education, teaching math"
T.2.GPV.Pu.Read,"Education staff in ISCED 2, General&Pre-Voc, Public, initial education, teaching reading"
T.2.GPV.Pr.Math,"Education staff in ISCED 2, General&Pre-Voc, Private, initial education, teaching math"
T.2.GPV.Pr.Read,"Education staff in ISCED 2, General&Pre-Voc, Private, initial education, teaching reading"
T.2.GPV.Math,"Education staff in ISCED 2, General&Pre-Voc, initial education, teaching math"
T.2.GPV.Read,"Education staff in ISCED 2, General&Pre-Voc, initial education, teaching reading"
T.2.GPV.Pu.Perm,"Education staff in ISCED 2, General&Pre-Voc, Public, initial education, Permanent contract"
T.2.GPV.Pu.Fix,"Education staff in ISCED 2, General&Pre-Voc, Public, initial education, non-Permanent contract"
T.2.GPV.Pu.uk,"Education staff in ISCED 2, General&Pre-Voc, Public, initial education, unknown contract"
T.2.GPV.Pr.Perm,"Education staff in ISCED 2, General&Pre-Voc, Private, initial education, Permanent contract"
T.2.GPV.Pr.Fix,"Education staff in ISCED 2, General&Pre-Voc, Private, initial education, non-Permanent contract"
T.2.GPV.Pr.uk,"Education staff in ISCED 2, General&Pre-Voc, Private, initial education, unknown contract"
T.2.GPV.Pu.EA.2m,"Education staff in ISCED 2, General&Pre-Voc, Public, initial education, Education attained ISCED 2 or less"
T.2.GPV.Pu.EA.3,"Education staff in ISCED 2in ISCED 3, General&Pre-Voc, Public, initial education, Education attained ISCED 3"
T.2.GPV.Pu.EA.4,"Education staff in ISCED 2, General&Pre-Voc, Public, initial education, Education attained ISCED 4"
T.2.GPV.Pu.EA.5,"Education staff in ISCED 2, General&Pre-Voc, Public, initial education, Education attained ISCED 5"
T.2.GPV.Pu.EA.6,"Education staff in ISCED 2, General&Pre-Voc, Public, initial education, Education attained ISCED 6"
T.2.GPV.Pu.EA.7,"Education staff in ISCED 2, General&Pre-Voc, Public, initial education, Education attained ISCED 7"
T.2.GPV.Pu.EA.8,"Education staff in ISCED 2, General&Pre-Voc, Public, initial education, Education attained ISCED 8"
T.2.GPV.Pu.EA.uk,"Education staff in ISCED 2, General&Pre-Voc, Public, initial education, Education attained not specified"
T.2.GPV.Pr.EA.2m,"Education staff in ISCED 2, General&Pre-Voc, Private, initial education, Education attained ISCED 2 or less"
T.2.GPV.Pr.EA.3,"Education staff in ISCED 2in ISCED 3, General&Pre-Voc, Private, initial education, Education attained ISCED 3"
T.2.GPV.Pr.EA.4,"Education staff in ISCED 2, General&Pre-Voc, Private, initial education, Education attained ISCED 4"
T.2.GPV.Pr.EA.5,"Education staff in ISCED 2, General&Pre-Voc, Private, initial education, Education attained ISCED 5"
T.2.GPV.Pr.EA.6,"Education staff in ISCED 2, General&Pre-Voc, Private, initial education, Education attained ISCED 6"
T.2.GPV.Pr.EA.7,"Education staff in ISCED 2, General&Pre-Voc, Private, initial education, Education attained ISCED 7"
T.2.GPV.Pr.EA.8,"Education staff in ISCED 2, General&Pre-Voc, Private, initial education, Education attained ISCED 8"
T.2.GPV.Pr.EA.uk,"Education staff in ISCED 2, General&Pre-Voc, Private, initial education, Education attained not specified"
T.2.GPV.EA.2m,"Education staff in ISCED 2, General&Pre-Voc, initial education, Education attained ISCED 2 or less"
T.2.GPV.EA.3,"Education staff in ISCED 2in ISCED 3, General&Pre-Voc, initial education, Education attained ISCED 3"
T.2.GPV.EA.4,"Education staff in ISCED 2, General&Pre-Voc, initial education, Education attained ISCED 4"
T.2.GPV.EA.5,"Education staff in ISCED 2, General&Pre-Voc, initial education, Education attained ISCED 5"
T.2.GPV.EA.6,"Education staff in ISCED 2, General&Pre-Voc, initial education, Education attained ISCED 6"
T.2.GPV.EA.7,"Education staff in ISCED 2, General&Pre-Voc, initial education, Education attained ISCED 7"
T.2.GPV.EA.8,"Education staff in ISCED 2, General&Pre-Voc, initial education, Education attained ISCED 8"
T.2.GPV.EA.uk,"Education staff in ISCED 2, General&Pre-Voc, initial education, Education attained not specified"
NT.2.GPV.Pu,"Newly recruited teachers in ISCED 2, General&Pre-Voc, Public, initial education"
NT.2.GPV.Pu.trained,"Newly recruited teachers in ISCED 2, General&Pre-Voc, Public, initial education, Trained teacher"
T.2.GPV.Pu.Exp1t2,"Education staff in ISCED 2, General&Pre-Voc, Public, initial education, Teaching experience of 1 to 2 years"
T.2.GPV.Pu.Exp3t5,"Education staff in ISCED 2, General&Pre-Voc, Public, initial education, Teaching experience of 3 to 5 years"
T.2.GPV.Pu.Exp6t10,"Education staff in ISCED 2, General&Pre-Voc, Public, initial education, Teaching experience of 6 to 10 years"
T.2.GPV.Pu.Exp11t15,"Education staff in ISCED 2, General&Pre-Voc, Public, initial education, Teaching experience of 11 to 15 years"
T.2.GPV.Pu.Exp15p,"Education staff in ISCED 2, General&Pre-Voc, Public, initial education, Teaching experience of more than 15 years"
T.2.GPV.Pu.Expuk,"Education staff in ISCED 2, General&Pre-Voc, Public, initial education, Teaching experience not specified"
NT.2.GPV.Pr,"Newly recruited teachers in ISCED 2, General&Pre-Voc, Private, initial education"
NT.2.GPV.Pr.trained,"Newly recruited teachers in ISCED 2, General&Pre-Voc, Private, initial education, Trained teacher"
T.2.GPV.Pr.Exp1t2,"Education staff in ISCED 2, General&Pre-Voc, Private, initial education, Teaching experience of 1 to 2 years"
T.2.GPV.Pr.Exp3t5,"Education staff in ISCED 2, General&Pre-Voc, Private, initial education, Teaching experience of 3 to 5 years"
T.2.GPV.Pr.Exp6t10,"Education staff in ISCED 2, General&Pre-Voc, Private, initial education, Teaching experience of 6 to 10 years"
T.2.GPV.Pr.Exp11t15,"Education staff in ISCED 2, General&Pre-Voc, Private, initial education, Teaching experience of 11 to 15 years"
T.2.GPV.Pr.Exp15p,"Education staff in ISCED 2, General&Pre-Voc, Private, initial education, Teaching experience of more than 15 years"
T.2.GPV.Pr.Expuk,"Education staff in ISCED 2, General&Pre-Voc, Private, initial education, Teaching experience not specified"
NT.2.GPV,"Newly recruited teachers in ISCED 2, General&Pre-Voc, initial education"
NT.2.GPV.trained,"Newly recruited teachers in ISCED 2, General&Pre-Voc, initial education, Trained teacher"
T.2.GPV.Exp1t2,"Education staff in ISCED 2, General&Pre-Voc, initial education, Teaching experience of 1 to 2 years"
T.2.GPV.Exp3t5,"Education staff in ISCED 2, General&Pre-Voc, initial education, Teaching experience of 3 to 5 years"
T.2.GPV.Exp6t10,"Education staff in ISCED 2, General&Pre-Voc, initial education, Teaching experience of 6 to 10 years"
T.2.GPV.Exp11t15,"Education staff in ISCED 2, General&Pre-Voc, initial education, Teaching experience of 11 to 15 years"
T.2.GPV.Exp15p,"Education staff in ISCED 2, General&Pre-Voc, initial education, Teaching experience of more than 15 years"
T.2.GPV.Expuk,"Education staff in ISCED 2, General&Pre-Voc, initial education, Teaching experience not specified"
T.2.GPV.Pu.Ag20m,"Education staff in ISCED 2, General&Pre-Voc, Public, initial education, Aged less than 20 years"
T.2.GPV.Pu.Ag20t29,"Education staff in ISCED 2, General&Pre-Voc, Public, initial education, Aged 20 to 29 years"
T.2.GPV.Pu.Ag30t39,"Education staff in ISCED 2, General&Pre-Voc, Public, initial education, Aged 30 to 39 years"
T.2.GPV.Pu.Ag40t49,"Education staff in ISCED 2, General&Pre-Voc, Public, initial education, Aged 40 to 49 years"
T.2.GPV.Pu.Ag50t59,"Education staff in ISCED 2, General&Pre-Voc, Public, initial education, Aged 50 to 59 years"
T.2.GPV.Pu.Ag60p,"Education staff in ISCED 2, General&Pre-Voc, Public, initial education, Aged 60 or more years"
T.2.GPV.Pu.Aguk,"Education staff in ISCED 2, General&Pre-Voc, Public, initial education, Age no specified"
T.2.GPV.Pr.Ag20m,"Education staff in ISCED 2, General&Pre-Voc, Private, initial education, Aged less than 20 years"
T.2.GPV.Pr.Ag20t29,"Education staff in ISCED 2, General&Pre-Voc, Private, initial education, Aged 20 to 29 years"
T.2.GPV.Pr.Ag30t39,"Education staff in ISCED 2, General&Pre-Voc, Private, initial education, Aged 30 to 39 years"
T.2.GPV.Pr.Ag40t49,"Education staff in ISCED 2, General&Pre-Voc, Private, initial education, Aged 40 to 49 years"
T.2.GPV.Pr.Ag50t59,"Education staff in ISCED 2, General&Pre-Voc, Private, initial education, Aged 50 to 59 years"
T.2.GPV.Pr.Ag60p,"Education staff in ISCED 2, General&Pre-Voc, Private, initial education, Aged 60 or more years"
T.2.GPV.Pr.Aguk,"Education staff in ISCED 2, General&Pre-Voc, Private, initial education, Age no specified"
T.2.GPV.Ag20m,"Education staff in ISCED 2, General&Pre-Voc, initial education, Aged less than 20 years"
T.2.GPV.Ag20t29,"Education staff in ISCED 2, General&Pre-Voc, initial education, Aged 20 to 29 years"
T.2.GPV.Ag30t39,"Education staff in ISCED 2, General&Pre-Voc, initial education, Aged 30 to 39 years"
T.2.GPV.Ag40t49,"Education staff in ISCED 2, General&Pre-Voc, initial education, Aged 40 to 49 years"
T.2.GPV.Ag50t59,"Education staff in ISCED 2, General&Pre-Voc, initial education, Aged 50 to 59 years"
T.2.GPV.Ag60p,"Education staff in ISCED 2, General&Pre-Voc, initial education, Aged 60 or more years"
T.2.GPV.Aguk,"Education staff in ISCED 2, General&Pre-Voc, initial education, Age no specified"
T.3.GPV.Pu.Math,"Education staff in ISCED 3, General&Pre-Voc, Public, initial education, teaching math"
T.3.GPV.Pu.Read,"Education staff in ISCED 3, General&Pre-Voc, Public, initial education, teaching reading"
T.3.GPV.Pr.Math,"Education staff in ISCED 3, General&Pre-Voc, Private, initial education, teaching math"
T.3.GPV.Pr.Read,"Education staff in ISCED 3, General&Pre-Voc, Private, initial education, teaching reading"
T.3.GPV.Math,"Education staff in ISCED 3, General&Pre-Voc, initial education, teaching math"
T.3.GPV.Read,"Education staff in ISCED 3, General&Pre-Voc, initial education, teaching reading"
T.3.GPV.Pu.Perm,"Education staff in ISCED 3, General&Pre-Voc, Public, initial education, Permanent contract"
T.3.GPV.Pu.Fix,"Education staff in ISCED 3, General&Pre-Voc, Public, initial education, non-Permanent contract"
T.3.GPV.Pu.uk,"Education staff in ISCED 3, General&Pre-Voc, Public, initial education, unknown contract"
T.3.GPV.Pr.Perm,"Education staff in ISCED 3, General&Pre-Voc, Private, initial education, Permanent contract"
T.3.GPV.Pr.Fix,"Education staff in ISCED 3, General&Pre-Voc, Private, initial education, non-Permanent contract"
T.3.GPV.Pr.uk,"Education staff in ISCED 3, General&Pre-Voc, Private, initial education, unknown contract"
T.3.GPV.Pu.EA.2m,"Education staff in ISCED 2in ISCED 3, General&Pre-Voc, Public, initial education, Education attained ISCED 2 or less"
T.3.GPV.Pu.EA.3,"Education staff in ISCED 3, General&Pre-Voc, Public, initial education, Education attained ISCED 3"
T.3.GPV.Pu.EA.4,"Education staff in ISCED 3, General&Pre-Voc, Public, initial education, Education attained ISCED 4"
T.3.GPV.Pu.EA.5,"Education staff in ISCED 3, General&Pre-Voc, Public, initial education, Education attained ISCED 5"
T.3.GPV.Pu.EA.6,"Education staff in ISCED 3, General&Pre-Voc, Public, initial education, Education attained ISCED 6"
T.3.GPV.Pu.EA.7,"Education staff in ISCED 3, General&Pre-Voc, Public, initial education, Education attained ISCED 7"
T.3.GPV.Pu.EA.8,"Education staff in ISCED 3, General&Pre-Voc, Public, initial education, Education attained ISCED 8"
T.3.GPV.Pu.EA.uk,"Education staff in ISCED 3, General&Pre-Voc, Public, initial education, Education attained not specified"
T.3.GPV.Pr.EA.2m,"Education staff in ISCED 2in ISCED 3, General&Pre-Voc, Private, initial education, Education attained ISCED 2 or less"
T.3.GPV.Pr.EA.3,"Education staff in ISCED 3, General&Pre-Voc, Private, initial education, Education attained ISCED 3"
T.3.GPV.Pr.EA.4,"Education staff in ISCED 3, General&Pre-Voc, Private, initial education, Education attained ISCED 4"
T.3.GPV.Pr.EA.5,"Education staff in ISCED 3, General&Pre-Voc, Private, initial education, Education attained ISCED 5"
T.3.GPV.Pr.EA.6,"Education staff in ISCED 3, General&Pre-Voc, Private, initial education, Education attained ISCED 6"
T.3.GPV.Pr.EA.7,"Education staff in ISCED 3, General&Pre-Voc, Private, initial education, Education attained ISCED 7"
T.3.GPV.Pr.EA.8,"Education staff in ISCED 3, General&Pre-Voc, Private, initial education, Education attained ISCED 8"
T.3.GPV.Pr.EA.uk,"Education staff in ISCED 3, General&Pre-Voc, Private, initial education, Education attained not specified"
T.3.GPV.EA.2m,"Education staff in ISCED 2in ISCED 3, General&Pre-Voc, initial education, Education attained ISCED 2 or less"
T.3.GPV.EA.3,"Education staff in ISCED 3, General&Pre-Voc, initial education, Education attained ISCED 3"
T.3.GPV.EA.4,"Education staff in ISCED 3, General&Pre-Voc, initial education, Education attained ISCED 4"
